center_cls,neighbour_cls,attention,distance
extrarenal,cortex,0.008929082192480564,8
extrarenal,angioinvasion,0.00015779001114424318,1
extrarenal,angioinvasion,0.00013120649964548647,2
extrarenal,angioinvasion,9.387889440404251e-05,3
extrarenal,angioinvasion,8.784757665125653e-05,4
extrarenal,angioinvasion,7.160515087889507e-05,5
extrarenal,angioinvasion,6.042615132173523e-05,6
extrarenal,angioinvasion,8.242062176577747e-05,7
extrarenal,angioinvasion,9.1634297859855e-05,8
extrarenal,mark,0.0038692359812557697,1
extrarenal,mark,0.004633558914065361,2
extrarenal,mark,0.0032314464915543795,3
extrarenal,mark,0.0032135620713233948,4
extrarenal,mark,0.0031498875468969345,5
extrarenal,mark,0.0026535235811024904,6
extrarenal,mark,0.0034267250448465347,7
extrarenal,mark,0.003947737626731396,8
extrarenal,tumor_regression,0.00256595341488719,1
extrarenal,tumor_regression,0.0031566473189741373,2
extrarenal,tumor_regression,0.002442694967612624,3
extrarenal,tumor_regression,0.0027848840691149235,4
extrarenal,tumor_regression,0.0027074473910033703,5
extrarenal,tumor_regression,0.0027643467765301466,6
extrarenal,tumor_regression,0.003663928946480155,7
extrarenal,tumor_regression,0.004499565344303846,8
extrarenal,capsule,0.005217667203396559,1
extrarenal,capsule,0.004481316544115543,2
extrarenal,capsule,0.0026610305067151785,3
extrarenal,capsule,0.002560907742008567,4
extrarenal,capsule,0.0021318623330444098,5
extrarenal,capsule,0.0018120697932317853,6
extrarenal,capsule,0.002026130212470889,7
extrarenal,capsule,0.002387515502050519,8
cortex,background,0.016204506158828735,1
cortex,background,0.011139960959553719,2
cortex,background,0.00722710182890296,3
cortex,background,0.006074688863009214,4
cortex,background,0.004763895180076361,5
cortex,background,0.0040541659109294415,6
cortex,background,0.0048713600262999535,7
cortex,background,0.005013690795749426,8
cortex,cyst,3.685799674713053e-05,1
cortex,cyst,8.063321729423478e-05,2
cortex,cyst,7.643832941539586e-05,3
cortex,cyst,0.00011390603322070092,4
cortex,cyst,0.0001465570239815861,5
cortex,cyst,0.00014903162082191557,6
cortex,cyst,0.0001824660721467808,7
cortex,cyst,0.0001663678849581629,8
cortex,tumor_bleeding,0.000339019694365561,1
cortex,tumor_bleeding,0.00043437001295387745,2
cortex,tumor_bleeding,0.00041359412716701627,3
cortex,tumor_bleeding,0.0004357812867965549,4
cortex,tumor_bleeding,0.0004709892382379621,5
cortex,tumor_bleeding,0.0004459502815734595,6
cortex,tumor_bleeding,0.0006117959273979068,7
cortex,tumor_bleeding,0.0007204196299426258,8
cortex,tumor_necrosis,2.7305781259201467e-05,1
cortex,tumor_necrosis,6.334465433610603e-05,2
cortex,tumor_necrosis,0.00010639599349815398,3
cortex,tumor_necrosis,0.00019541592337191105,4
cortex,tumor_necrosis,0.000250269309617579,5
cortex,tumor_necrosis,0.0003256063209846616,6
cortex,tumor_necrosis,0.0004674982628785074,7
cortex,tumor_necrosis,0.0006563500501215458,8
cortex,tumor_vital,0.010561004281044006,1
cortex,tumor_vital,0.013821742497384548,2
cortex,tumor_vital,0.012695248238742352,3
cortex,tumor_vital,0.014254879206418991,4
cortex,tumor_vital,0.014553847722709179,5
cortex,tumor_vital,0.01424934808164835,6
cortex,tumor_vital,0.019471103325486183,7
cortex,tumor_vital,0.02183598466217518,8
cortex,extrarenal,0.012559790164232254,1
cortex,extrarenal,0.012991998344659805,2
cortex,extrarenal,0.01033112220466137,3
cortex,extrarenal,0.01023397222161293,4
cortex,extrarenal,0.009396011009812355,5
cortex,extrarenal,0.009392124600708485,6
cortex,extrarenal,0.011488666757941246,7
cortex,extrarenal,0.012023462913930416,8
cortex,cortex,0.20729507505893707,1
cortex,cortex,0.1307975947856903,2
cortex,cortex,0.06987043470144272,3
cortex,cortex,0.05266431346535683,4
cortex,cortex,0.0392155684530735,5
cortex,cortex,0.02818046696484089,6
cortex,cortex,0.031249182298779488,7
cortex,cortex,0.027520496398210526,8
cortex,angioinvasion,9.024689643410966e-05,1
cortex,angioinvasion,7.008089596638456e-05,2
cortex,angioinvasion,3.48670691892039e-05,3
cortex,angioinvasion,2.981277611979749e-05,4
cortex,angioinvasion,2.334372948098462e-05,5
cortex,angioinvasion,1.3844923159922473e-05,6
cortex,angioinvasion,1.682633774180431e-05,7
cortex,angioinvasion,1.9541146684787236e-05,8
cortex,mark,0.007623159326612949,1
cortex,mark,0.009622776880860329,2
cortex,mark,0.007890185341238976,3
cortex,mark,0.008596501313149929,4
cortex,mark,0.008896082639694214,5
cortex,mark,0.007508368697017431,6
cortex,mark,0.010549645870923996,7
cortex,mark,0.01072272565215826,8
cortex,tumor_regression,0.0032683247700333595,1
cortex,tumor_regression,0.0036260972265154123,2
